Date,Hour,Hourly Rainfall (mm),Hourly Water Level (meters),Hourly Discharge Rate (cubic meters per second),Flood Indicator
1/1/2023,1,9.507143064,4.085066287,127.5738629,1
1/1/2023,2,7.319939418,1.627105545,442.5775535,0
1/1/2023,3,5.986584842,3.311933448,325.9023076,0
1/1/2023,4,1.560186404,3.072856924,120.7417476,0
1/1/2023,5,1.559945203,4.247736696,483.0521259,1
1/1/2023,6,0.580836122,4.577391772,283.2644585,1
1/1/2023,8,6.011150117,3.533089636,332.074807,0
1/1/2023,9,7.080725778,0.733261096,163.9395082,0
1/1/2023,10,0.205844943,2.969863993,411.6620533,0
1/1/2023,11,9.699098522,1.794347281,418.0199331,0
1/1/2023,13,2.123391107,2.088313266,275.841289,0
1/1/2023,15,1.834045099,2.003224846,389.0640225,0
1/1/2023,16,3.04242243,3.797145728,109.6117954,0
1/1/2023,17,5.247564316,2.320373235,296.1119812,0
1/1/2023,18,4.319450186,0.807589401,295.8114201,0
1/1/2023,19,2.912291402,4.026919291,90.26290526,1
1/1/2023,20,6.118528947,1.785912461,238.0928385,0
1/1/2023,21,1.394938607,2.447450958,433.9781594,0
1/1/2023,22,2.921446485,3.584497474,435.2691299,0
1/1/2023,23,3.663618433,1.996052707,94.65694921,0
1/2/2023,0,4.560699842,0.754635453,90.82439724,0
1/2/2023,1,7.851759614,2.182644712,168.2129647,0
1/2/2023,2,1.996737822,4.750018622,443.6447281,1
1/2/2023,3,5.142344384,3.387804788,108.0061633,0
1/2/2023,4,5.924145689,3.521656169,373.9985612,0
1/2/2023,7,1.705241237,2.382502388,210.2302846,0
1/2/2023,9,9.488855373,0.956178039,155.160702,0
1/2/2023,10,9.656320331,1.750337492,337.6408232,0
1/2/2023,11,8.083973481,1.743435988,156.0571406,0
1/2/2023,12,3.046137692,2.444085174,371.1471274,0
1/2/2023,13,0.97672114,4.911659334,443.1551156,1
1/2/2023,14,6.842330265,0.80376146,107.0608096,0
1/2/2023,15,4.401524937,2.834154475,439.9680599,0
1/2/2023,16,1.220382348,1.307141069,317.1088645,0
1/2/2023,17,4.951769101,4.868044454,107.1997209,1
1/2/2023,18,0.343885211,1.009865771,242.3938349,0
1/2/2023,22,3.117110761,2.402278866,97.60843412,0
