Date,Hour,Discharge Rate (cumecs),Rainfall Data (mm),Water Level (m)
2021-04-01,1,16.45,0,1
2021-04-01,2,16.28,0,0.99
2021-04-01,3,16.12,0,0.98
2021-04-01,4,15.78,0,0.96
2021-04-01,5,15.62,0,0.95
2021-04-01,6,15.45,0,0.94
2021-04-01,7,15.29,0,0.93
2021-04-01,8,15.12,0,0.92
2021-04-01,9,15.12,0,0.92
2021-04-01,10,14.96,0,0.91
2021-04-01,11,14.96,0,0.91
2021-04-01,12,14.64,0,0.89
2021-04-01,13,14.48,0,0.88
2021-04-01,14,14.32,0,0.87
2021-04-01,15,14.16,0,0.86
2021-04-01,16,14.01,0,0.85
2021-04-01,17,13.85,0,0.84
2021-04-01,18,13.85,0,0.84
2021-04-01,19,13.85,0,0.84
2021-04-01,20,14.01,0,0.85
2021-04-01,21,14.01,0,0.85
2021-04-01,22,14.48,0,0.88
2021-04-01,23,14.8,0,0.9
2021-04-01,24,15.12,0,0.92
2021-04-02,1,15.95,0,0.97
2021-04-02,2,16.45,0,1
2021-04-02,3,16.12,0,0.98
2021-04-02,4,15.78,0,0.96
2021-04-02,5,15.29,0,0.93
2021-04-02,6,14.8,0,0.9
2021-04-02,7,14.48,0,0.88
2021-04-02,8,14.32,0,0.87
2021-04-02,9,14.01,0,0.85
2021-04-02,10,13.85,0,0.84
2021-04-02,11,13.7,0,0.83
2021-04-02,12,13.54,0,0.82
2021-04-02,13,13.39,0,0.81
2021-04-02,14,13.24,0,0.8
2021-04-02,15,13.24,0,0.8
2021-04-02,16,13.24,0,0.8
2021-04-02,17,13.09,0,0.79
2021-04-02,18,12.93,0,0.78
2021-04-02,19,12.93,0,0.78
2021-04-02,20,12.64,0,0.76
2021-04-02,21,12.64,0,0.76
2021-04-02,22,12.64,0,0.76
2021-04-02,23,12.49,0,0.75
2021-04-02,24,12.34,0,0.74
2021-04-03,1,12.19,0,0.73
2021-04-03,2,12.05,0,0.72
2021-04-03,3,11.9,0,0.71
2021-04-03,4,11.76,0,0.7
2021-04-03,5,11.76,0,0.7
2021-04-03,6,11.76,0,0.7
2021-04-03,7,11.62,0,0.69
2021-04-03,8,11.62,0,0.69
2021-04-03,9,11.48,0,0.68
2021-04-03,10,11.48,0,0.68
2021-04-03,11,11.48,0,0.68
2021-04-03,12,11.48,0,0.68
2021-04-03,13,11.33,0,0.67
2021-04-03,14,11.33,0,0.67
2021-04-03,15,11.19,0,0.66
2021-04-03,16,11.19,0,0.66
2021-04-03,17,11.19,0,0.66
2021-04-03,18,11.05,0,0.65
2021-04-03,19,11.19,0,0.66
2021-04-03,20,10.92,0,0.64
2021-04-03,21,10.92,0,0.64
2021-04-03,22,10.92,0,0.64
2021-04-03,23,10.64,0,0.62
2021-04-03,24,10.51,0,0.61
2021-04-04,1,10.37,0,0.6
2021-04-04,2,10.37,0,0.6
2021-04-04,3,10.37,0,0.6
2021-04-04,4,10.37,0,0.6
2021-04-04,5,10.24,0,0.59
2021-04-04,6,10.24,0,0.59
2021-04-04,7,10.1,0,0.58
2021-04-04,8,10.1,0,0.58
2021-04-04,9,10.1,0,0.58
2021-04-04,10,10.1,0,0.58
2021-04-04,11,9.97,0,0.57
2021-04-04,12,9.84,0,0.56
2021-04-04,13,9.84,0,0.56
2021-04-04,14,9.84,0,0.56
2021-04-04,15,9.71,0,0.55
2021-04-04,16,9.58,0,0.54
2021-04-04,17,9.45,0,0.53
2021-04-04,18,9.45,0,0.53
2021-04-04,19,9.45,0,0.53
2021-04-04,20,9.58,0,0.54
2021-04-04,21,9.84,0,0.56
2021-04-04,22,9.97,0,0.57
2021-04-04,23,9.97,0,0.57
2021-04-04,24,9.97,0,0.57
2021-04-05,1,9.84,0,0.56
2021-04-05,2,9.58,0,0.54
2021-04-05,3,9.45,0,0.53
2021-04-05,4,9.32,0,0.52
2021-04-05,5,9.07,0,0.5
2021-04-05,6,8.82,0,0.48
2021-04-05,7,8.57,0,0.46
2021-04-05,8,8.57,0,0.46
2021-04-05,9,8.57,0,0.46
2021-04-05,10,8.94,0,0.49
2021-04-05,11,9.07,0,0.5
2021-04-05,12,9.07,0,0.5
2021-04-05,13,9.07,0,0.5
2021-04-05,14,8.94,0,0.49
2021-04-05,15,8.94,0,0.49
2021-04-05,16,8.82,0,0.48
2021-04-05,17,8.69,0,0.47
2021-04-05,18,8.57,0,0.46
2021-04-05,19,8.45,0,0.45
2021-04-05,20,8.45,0,0.45
2021-04-05,21,8.57,0,0.46
2021-04-05,22,8.94,0,0.49
2021-04-05,23,9.32,0,0.52
2021-04-05,24,9.45,0,0.53
2021-04-06,1,9.58,0,0.54
2021-04-06,2,9.58,0,0.54
2021-04-06,3,9.58,0,0.54
2021-04-06,4,9.32,0,0.52
2021-04-06,5,9.19,0,0.51
2021-04-06,6,9.07,0,0.5
2021-04-06,7,8.94,0,0.49
2021-04-06,8,8.82,0,0.48
2021-04-06,9,8.57,0,0.46
2021-04-06,10,8.57,0,0.46
2021-04-06,11,8.69,0,0.47
2021-04-06,12,8.94,0,0.49
2021-04-06,13,8.94,0,0.49
2021-04-06,14,8.82,0,0.48
2021-04-06,15,8.69,0,0.47
2021-04-06,16,8.69,2.8,0.47
2021-04-06,17,8.69,1.8,0.47
2021-04-06,18,8.57,0,0.46
2021-04-06,19,8.45,0,0.45
2021-04-06,20,8.45,0,0.45
