Date,Hour,Discharge Rate (cumecs),Rainfall Data (mm),Water Level (m)
4/1/2021,1,16.45,0,1
4/1/2021,2,16.28,0,0.99
4/1/2021,3,16.12,0,0.98
4/1/2021,4,15.78,0,0.96
4/1/2021,5,15.62,0,0.95
4/1/2021,6,15.45,0,0.94
4/1/2021,7,15.29,0,0.93
4/1/2021,8,15.12,0,0.92
4/1/2021,9,15.12,0,0.92
4/1/2021,10,14.96,0,0.91
4/1/2021,11,14.96,0,0.91
4/1/2021,12,14.64,0,0.89
4/1/2021,13,14.48,0,0.88
4/1/2021,14,14.32,0,0.87
4/1/2021,15,14.16,0,0.86
4/1/2021,16,14.01,0,0.85
4/1/2021,17,13.85,0,0.84
4/1/2021,18,13.85,0,0.84
4/1/2021,19,13.85,0,0.84
4/1/2021,20,14.01,0,0.85
4/1/2021,21,14.01,0,0.85
4/1/2021,22,14.48,0,0.88
4/1/2021,23,14.8,0,0.9
4/1/2021,24,15.12,0,0.92
4/2/2021,1,15.95,0,0.97
4/2/2021,2,16.45,0,1
4/2/2021,3,16.12,0,0.98
4/2/2021,4,15.78,0,0.96
4/2/2021,5,15.29,0,0.93
4/2/2021,6,14.8,0,0.9
4/2/2021,7,14.48,0,0.88
4/2/2021,8,14.32,0,0.87
4/2/2021,9,14.01,0,0.85
4/2/2021,10,13.85,0,0.84
4/2/2021,11,13.7,0,0.83
4/2/2021,12,13.54,0,0.82
4/2/2021,13,13.39,0,0.81
4/2/2021,14,13.24,0,0.8
4/2/2021,15,13.24,0,0.8
4/2/2021,16,13.24,0,0.8
4/2/2021,17,13.09,0,0.79
4/2/2021,18,12.93,0,0.78
4/2/2021,19,12.93,0,0.78
4/2/2021,20,12.64,0,0.76
4/2/2021,21,12.64,0,0.76
4/2/2021,22,12.64,0,0.76
4/2/2021,23,12.49,0,0.75
4/2/2021,24,12.34,0,0.74
4/3/2021,1,12.19,0,0.73
4/3/2021,2,12.05,0,0.72
4/3/2021,3,11.9,0,0.71
4/3/2021,4,11.76,0,0.7
4/3/2021,5,11.76,0,0.7
4/3/2021,6,11.76,0,0.7
4/3/2021,7,11.62,0,0.69
4/3/2021,8,11.62,0,0.69
4/3/2021,9,11.48,0,0.68
4/3/2021,10,11.48,0,0.68
4/3/2021,11,11.48,0,0.68
4/3/2021,12,11.48,0,0.68
4/3/2021,13,11.33,0,0.67
4/3/2021,14,11.33,0,0.67
4/3/2021,15,11.19,0,0.66
4/3/2021,16,11.19,0,0.66
4/3/2021,17,11.19,0,0.66
4/3/2021,18,11.05,0,0.65
4/3/2021,19,11.19,0,0.66
4/3/2021,20,10.92,0,0.64
4/3/2021,21,10.92,0,0.64
4/3/2021,22,10.92,0,0.64
4/3/2021,23,10.64,0,0.62
4/3/2021,24,10.51,0,0.61
4/4/2021,1,10.37,0,0.6
4/4/2021,2,10.37,0,0.6
4/4/2021,3,10.37,0,0.6
4/4/2021,4,10.37,0,0.6
4/4/2021,5,10.24,0,0.59
4/4/2021,6,10.24,0,0.59
4/4/2021,7,10.1,0,0.58
4/4/2021,8,10.1,0,0.58
4/4/2021,9,10.1,0,0.58
4/4/2021,10,10.1,0,0.58
4/4/2021,11,9.97,0,0.57
4/4/2021,12,9.84,0,0.56
4/4/2021,13,9.84,0,0.56
4/4/2021,14,9.84,0,0.56
4/4/2021,15,9.71,0,0.55
4/4/2021,16,9.58,0,0.54
4/4/2021,17,9.45,0,0.53
4/4/2021,18,9.45,0,0.53
4/4/2021,19,9.45,0,0.53
4/4/2021,20,9.58,0,0.54
4/4/2021,21,9.84,0,0.56
4/4/2021,22,9.97,0,0.57
4/4/2021,23,9.97,0,0.57
4/4/2021,24,9.97,0,0.57
4/5/2021,1,9.84,0,0.56
4/5/2021,2,9.58,0,0.54
4/5/2021,3,9.45,0,0.53
4/5/2021,4,9.32,0,0.52
4/5/2021,5,9.07,0,0.5
4/5/2021,6,8.82,0,0.48
4/5/2021,7,8.57,0,0.46
4/5/2021,8,8.57,0,0.46
4/5/2021,9,8.57,0,0.46
4/5/2021,10,8.94,0,0.49
4/5/2021,11,9.07,0,0.5
4/5/2021,12,9.07,0,0.5
4/5/2021,13,9.07,0,0.5
4/5/2021,14,8.94,0,0.49
4/5/2021,15,8.94,0,0.49
4/5/2021,16,8.82,0,0.48
4/5/2021,17,8.69,0,0.47
4/5/2021,18,8.57,0,0.46
4/5/2021,19,8.45,0,0.45
4/5/2021,20,8.45,0,0.45
4/5/2021,21,8.57,0,0.46
4/5/2021,22,8.94,0,0.49
4/5/2021,23,9.32,0,0.52
4/5/2021,24,9.45,0,0.53
4/6/2021,1,9.58,0,0.54
4/6/2021,2,9.58,0,0.54
4/6/2021,3,9.58,0,0.54
4/6/2021,4,9.32,0,0.52
4/6/2021,5,9.19,0,0.51
4/6/2021,6,9.07,0,0.5
4/6/2021,7,8.94,0,0.49
4/6/2021,8,8.82,0,0.48
4/6/2021,9,8.57,0,0.46
4/6/2021,10,8.57,0,0.46
4/6/2021,11,8.69,0,0.47
4/6/2021,12,8.94,0,0.49
4/6/2021,13,8.94,0,0.49
4/6/2021,14,8.82,0,0.48
4/6/2021,15,8.69,0,0.47
4/6/2021,16,8.69,2.8,0.47
4/6/2021,17,8.69,1.8,0.47
4/6/2021,18,8.57,0,0.46
4/6/2021,19,8.45,0,0.45
4/6/2021,20,8.45,0,0.45
4/6/2021,21,8.45,0,0.45
4/6/2021,22,8.57,0,0.46
4/6/2021,23,8.57,0,0.46
4/6/2021,24,8.69,0,0.47
4/7/2021,1,8.69,0,0.47
4/7/2021,2,8.69,0,0.47
4/7/2021,3,8.69,0,0.47
4/7/2021,4,8.69,0,0.47
4/7/2021,5,8.57,0,0.46
4/7/2021,6,8.57,0,0.46
4/7/2021,7,8.57,0,0.46
4/7/2021,8,8.45,0,0.45
4/7/2021,9,8.57,0,0.46
4/7/2021,10,8.69,0,0.47
4/7/2021,11,8.82,0,0.48
4/7/2021,12,8.82,0,0.48
4/7/2021,13,8.69,0,0.47
4/7/2021,14,8.45,0,0.45
4/7/2021,15,8.33,0,0.44
4/7/2021,16,8.33,0,0.44
4/7/2021,17,8.33,0.8,0.44
4/7/2021,18,8.21,21,0.43
4/7/2021,19,8.21,,0.43
4/7/2021,20,8.21,0.1,0.43
4/7/2021,21,8.21,,0.43
4/7/2021,22,8.21,0.1,0.43
4/7/2021,23,8.21,,0.43
4/7/2021,24,8.21,0,0.43
4/8/2021,1,8.21,0,0.43
4/8/2021,2,8.21,0,0.43
4/8/2021,3,8.21,0,0.43
4/8/2021,4,8.33,0,0.44
4/8/2021,5,8.45,0,0.45
4/8/2021,6,8.57,0,0.46
4/8/2021,7,9.07,0,0.5
4/8/2021,8,10.1,0,0.58
4/8/2021,9,11.48,0,0.68
4/8/2021,10,12.64,0,0.76
4/8/2021,11,13.09,0,0.79
4/8/2021,12,13.09,0,0.79
4/8/2021,13,12.93,0,0.78
4/8/2021,14,12.49,0,0.75
4/8/2021,15,12.05,0,0.72
4/8/2021,16,11.62,0,0.69
4/8/2021,17,11.48,0,0.68
4/8/2021,18,11.19,0,0.66
4/8/2021,19,11.62,0,0.69
4/8/2021,20,12.05,0,0.72
4/8/2021,21,13.09,0,0.79
4/8/2021,22,14.32,0,0.87
4/8/2021,23,15.78,0,0.96
4/8/2021,24,17.31,0,1.05
4/9/2021,1,18.73,0,1.13
4/9/2021,2,20.39,0,1.22
4/9/2021,3,21.54,0,1.28
4/9/2021,4,23.12,0,1.36
4/9/2021,5,23.73,0,1.39
4/9/2021,6,24.34,0,1.42
4/9/2021,7,22.72,0,1.34
4/9/2021,8,21.54,0,1.28
4/9/2021,9,20.2,0,1.21
4/9/2021,10,19.09,0,1.15
4/9/2021,11,17.66,0,1.07
4/9/2021,12,16.45,0,1
4/9/2021,13,15.62,0,0.95
4/9/2021,14,15.12,0,0.92
4/9/2021,15,14.64,0,0.89
4/9/2021,16,14.16,0,0.86
4/9/2021,17,13.54,0,0.82
4/9/2021,18,13.09,0,0.79
4/9/2021,19,12.78,0,0.77
4/9/2021,20,12.49,0,0.75
4/9/2021,21,12.34,0,0.74
4/9/2021,22,12.05,0,0.72
4/9/2021,23,11.76,0,0.7
4/9/2021,24,11.48,0,0.68
4/10/2021,1,11.9,0.1,0.71
4/10/2021,2,13.54,0,0.82
4/10/2021,3,14.48,0,0.88
4/10/2021,4,14.96,0,0.91
4/10/2021,5,15.29,0,0.93
4/10/2021,6,14.48,0,0.88
4/10/2021,7,13.85,0,0.84
4/10/2021,8,13.39,0,0.81
4/10/2021,9,12.78,0,0.77
4/10/2021,10,12.19,0,0.73
4/10/2021,11,11.76,0,0.7
4/10/2021,12,11.76,0,0.7
4/10/2021,13,11.9,0,0.71
4/10/2021,14,11.9,0,0.71
4/10/2021,15,11.76,0,0.7
4/10/2021,16,11.48,0,0.68
4/10/2021,17,11.48,0,0.68
4/10/2021,18,12.64,0,0.76
4/10/2021,19,14.8,10,0.9
4/10/2021,20,29.31,0.1,1.65
4/10/2021,21,44.46,0,2.25
4/10/2021,22,54.74,0,2.6
4/10/2021,23,59.79,0,2.76
4/10/2021,24,62.41,0,2.84
4/11/2021,1,65.41,0,2.93
4/11/2021,2,69.88,0,3.06
4/11/2021,3,73.77,0,3.17
4/11/2021,4,78.51,0,3.3
4/11/2021,5,81.12,0,3.37
4/11/2021,6,83.77,0,3.44
