Date,Hour,Discharge Rate (cumecs),Rainfall Data (mm),Water Level (m)
5/1/2016,1,14.64060095,0,0.89
5/1/2016,2,14.80093983,0,0.9
5/1/2016,3,14.96215136,0,0.91
5/1/2016,4,15.12423553,0,0.92
5/1/2016,5,15.12423553,0,0.92
5/1/2016,6,15.12423553,0,0.92
5/1/2016,7,14.96215136,0,0.91
5/1/2016,8,14.80093983,0,0.9
5/1/2016,9,14.80093983,0,0.9
5/1/2016,10,14.64060095,0,0.89
5/1/2016,11,14.48113471,0,0.88
5/1/2016,12,14.32254113,0,0.87
5/1/2016,13,14.32254113,0,0.87
5/1/2016,14,14.1648202,0,0.86
5/1/2016,15,14.00797195,0,0.85
5/1/2016,16,13.85199637,0.2,0.84
5/1/2016,17,13.54266325,1.1,0.82
5/1/2016,18,13.23682091,1.4,0.8
5/1/2016,19,13.23682091,1.5,0.8
5/1/2016,20,13.38930573,0,0.81
5/1/2016,21,13.69689347,0,0.83
5/1/2016,22,14.00797195,0,0.85
5/1/2016,23,14.32254113,0,0.87
5/1/2016,24,14.80093983,0,0.9
5/2/2016,1,15.61572378,0,0.95
5/2/2016,2,16.45232303,0,1
5/2/2016,3,16.45232303,0,1
5/2/2016,4,15.94774569,0,0.97
5/2/2016,5,15.45102174,0,0.94
5/2/2016,6,14.80093983,0,0.9
5/2/2016,7,14.80093983,0,0.9
5/2/2016,8,14.64060095,0,0.89
5/2/2016,9,14.48113471,0,0.88
5/2/2016,10,14.32254113,0,0.87
5/2/2016,11,14.1648202,0,0.86
5/2/2016,12,14.00797195,0,0.85
5/2/2016,13,13.85199637,0,0.84
5/2/2016,14,13.69689347,0,0.83
5/2/2016,15,13.38930573,0,0.81
5/2/2016,16,13.38930573,18.5,0.81
5/2/2016,17,14.48113471,10.6,0.88
5/2/2016,18,15.94774569,4.4,0.97
5/2/2016,19,17.48503728,0,1.06
5/2/2016,20,18.19096449,0,1.1
5/2/2016,21,18.54916326,0,1.12
5/2/2016,22,18.54916326,0,1.12
5/2/2016,23,18.19096449,0,1.1
5/2/2016,24,17.83625581,0,1.08
5/3/2016,1,17.48503728,0,1.06
5/3/2016,2,17.13730895,0,1.04
5/3/2016,3,16.45232303,0,1
5/3/2016,4,15.94774569,0,0.97
5/3/2016,5,15.45102174,0,0.94
5/3/2016,6,14.96215136,0,0.91
5/3/2016,7,14.80093983,0,0.9
5/3/2016,8,14.80093983,0,0.9
5/3/2016,9,14.64060095,0,0.89
5/3/2016,10,14.48113471,0,0.88
5/3/2016,11,14.1648202,0,0.86
5/3/2016,12,13.85199637,0,0.84
5/3/2016,13,13.69689347,0,0.83
5/3/2016,14,13.38930573,0,0.81
5/3/2016,15,12.93446938,0,0.78
5/3/2016,16,12.63560874,1.4,0.76
5/3/2016,17,12.63560874,0.2,0.76
5/3/2016,18,12.63560874,0,0.76
5/3/2016,19,12.93446938,0,0.78
5/3/2016,20,13.23682091,0,0.8
5/3/2016,21,13.23682091,0,0.8
5/3/2016,22,13.38930573,0,0.81
5/3/2016,23,13.38930573,0,0.81
5/3/2016,24,13.54266325,0,0.82
5/4/2016,1,13.69689347,0,0.83
5/4/2016,2,13.85199637,0,0.84
5/4/2016,3,14.00797195,0,0.85
5/4/2016,4,14.32254113,0,0.87
5/4/2016,5,14.64060095,0,0.89
5/4/2016,6,14.64060095,0,0.89
5/4/2016,7,14.64060095,0,0.89
5/4/2016,8,14.48113471,0,0.88
5/4/2016,9,14.32254113,0,0.87
5/4/2016,10,14.1648202,0,0.86
5/4/2016,11,14.1648202,0,0.86
5/4/2016,12,14.00797195,0,0.85
5/4/2016,13,13.69689347,0,0.83
5/4/2016,14,13.38930573,0,0.81
5/4/2016,15,13.08520879,0,0.79
5/4/2016,16,12.93446938,0,0.78
5/4/2016,17,12.7846027,0,0.77
5/4/2016,18,12.7846027,0,0.77
5/4/2016,19,12.7846027,0,0.77
5/4/2016,20,13.08520879,0,0.79
5/4/2016,21,13.38930573,0,0.81
5/4/2016,22,13.69689347,0,0.83
5/4/2016,23,14.00797195,0,0.85
5/4/2016,24,14.48113471,0,0.88
5/5/2016,1,15.12423553,0,0.92
5/5/2016,2,15.12423553,0,0.92
5/5/2016,3,14.80093983,0,0.9
5/5/2016,4,14.64060095,0,0.89
5/5/2016,5,14.48113471,0,0.88
5/5/2016,6,14.32254113,0,0.87
5/5/2016,7,14.1648202,0,0.86
